x	y	t	f
0.016667	2.450000	999	-0.005671
0.016667	2.466667	999	0.007492
0.016667	2.483333	999	0.000045
0.016667	2.500000	999	0.020865
0.016667	2.516667	999	0.002087
0.016667	2.533333	999	-0.003619
0.016667	2.550000	999	-0.001024
0.016667	2.566667	999	-0.021445
0.016667	2.583333	999	0.007361
0.016667	2.600000	999	-0.017902
0.016667	2.616667	999	0.009077
0.016667	2.633333	999	-0.031436
0.016667	2.650000	999	-0.000530
0.016667	2.666667	999	-0.016141
0.016667	2.683333	999	-0.012328
0.016667	2.700000	999	0.007426
0.016667	2.716667	999	-0.009989
0.016667	2.733333	999	0.002545
0.016667	2.750000	999	-0.007417
0.016667	2.766667	999	0.019234
0.016667	2.783333	999	0.007804
0.016667	2.800000	999	-0.003284
0.016667	2.816667	999	0.013690
0.016667	2.833333	999	-0.031972
0.016667	2.850000	999	0.010305
0.016667	2.866667	999	-0.004288
0.016667	2.883333	999	0.017742
0.016667	2.900000	999	-0.001328
0.016667	2.916667	999	-0.027108
0.016667	2.933333	999	-0.024390
0.016667	2.950000	999	-0.032912
0.016667	2.966667	999	0.027589
0.016667	2.983333	999	-0.002587
0.016667	3.000000	999	0.016905
0.016667	3.016667	999	0.003384
0.016667	3.033333	999	-0.049159
0.016667	3.050000	999	-0.004251
0.016667	3.066667	999	0.018867
0.016667	3.083333	999	0.026053
0.016667	3.100000	999	-0.005996
0.016667	3.116667	999	-0.008262
0.016667	3.133333	999	0.010941
0.016667	3.150000	999	-0.031087
0.016667	3.166667	999	0.032171
0.016667	3.183333	999	-0.023808
0.016667	3.200000	999	0.006624
0.016667	3.216667	999	-0.016836
0.016667	3.233333	999	-0.021711
0.016667	3.250000	999	0.061486
0.016667	3.266667	999	0.026034
0.016667	3.283333	999	-0.057422
0.016667	3.300000	999	-0.049760
0.016667	3.316667	999	0.042902
0.016667	3.333333	999	0.059491
0.016667	3.350000	999	-0.063752
0.016667	3.366667	999	0.007561
0.016667	3.383333	999	-0.023577
0.016667	3.400000	999	0.063869
0.016667	3.416667	999	-0.028896
0.016667	3.433333	999	-0.065411
0.016667	3.450000	999	0.025220
0.016667	3.466667	999	0.037701
0.016667	3.483333	999	-0.013830
0.016667	3.500000	999	0.001280
0.016667	3.516667	999	0.030662
0.016667	3.533333	999	0.021137
0.016667	3.550000	999	-0.015902
0.016667	3.566667	999	0.010311
0.016667	3.583333	999	-0.014182
0.016667	3.600000	999	0.043673
0.016667	3.616667	999	-0.007066
0.016667	3.633333	999	-0.033129
0.016667	3.650000	999	0.049240
0.016667	3.666667	999	-0.000268
0.016667	3.683333	999	-0.046845
0.016667	3.700000	999	0.014207
0.016667	3.716667	999	-0.027088
0.016667	3.733333	999	0.032638
0.016667	3.750000	999	0.002518
0.016667	3.766667	999	-0.023956
0.016667	3.783333	999	0.035624
0.016667	3.800000	999	0.024025
0.016667	3.816667	999	0.004521
0.016667	3.833333	999	-0.051378
0.016667	3.850000	999	0.041413
0.016667	3.866667	999	-0.031113
0.016667	3.883333	999	0.040479
0.016667	3.900000	999	-0.018761
0.016667	3.916667	999	-0.023700
0.016667	3.933333	999	0.052602
0.016667	3.950000	999	0.017064
0.016667	3.966667	999	-0.029958
0.016667	3.983333	999	0.019334
0.016667	4.000000	999	-0.029845
0.016667	4.016667	999	0.032537
0.016667	4.033333	999	0.031766
0.016667	4.050000	999	-0.047954
0.016667	4.066667	999	0.011975
0.016667	4.083333	999	0.006043
0.016667	4.100000	999	-0.004911
0.016667	4.116667	999	0.009730
0.016667	4.133333	999	-0.050662
0.016667	4.150000	999	-0.029230
0.016667	4.166667	999	0.010516
0.016667	4.183333	999	0.017187
0.016667	4.200000	999	-0.011929
0.016667	4.216667	999	0.011663
0.016667	4.233333	999	-0.031603
0.016667	4.250000	999	0.010644
0.016667	4.266667	999	0.037480
0.016667	4.283333	999	-0.042102
0.016667	4.300000	999	0.006892
0.016667	4.316667	999	-0.050085
0.016667	4.333333	999	-0.007230
0.016667	4.350000	999	0.023036
0.016667	4.366667	999	0.029202
0.016667	4.383333	999	-0.018920
0.016667	4.400000	999	0.040382
0.016667	4.416667	999	-0.059379
0.016667	4.433333	999	0.043003
0.016667	4.450000	999	0.006462
0.016667	4.466667	999	-0.000061
0.016667	4.483333	999	0.023084
0.016667	4.500000	999	-0.036503
0.016667	4.516667	999	-0.010794
0.016667	4.533333	999	0.000920
0.016667	4.550000	999	0.011156
0.016667	4.566667	999	0.008839
0.016667	4.583333	999	0.051484
0.016667	4.600000	999	-0.047815
0.016667	4.616667	999	0.039980
0.016667	4.633333	999	-0.054710
0.016667	4.650000	999	0.005213
0.016667	4.666667	999	-0.002085
0.016667	4.683333	999	0.005458
0.016667	4.700000	999	0.010921
0.016667	4.716667	999	0.028398
0.016667	4.733333	999	-0.016036
0.016667	4.750000	999	0.014582
0.016667	4.766667	999	-0.006290
0.016667	4.783333	999	-0.035255
0.016667	4.800000	999	0.032885
0.016667	4.816667	999	-0.052339
0.016667	4.833333	999	0.035706
0.016667	4.850000	999	-0.017726
0.016667	4.866667	999	0.009198
0.016667	4.883333	999	0.003075
0.016667	4.900000	999	0.011241
0.016667	4.916667	999	-0.022711
